train_id,train_name,journey_date,station_no,station_code,station_name,distance_km,scheduled_time,delay_minutes,actual_time,source
12805,Janmabhoomi Express,2026-08-01,1,VSKP,Visakhapatnam Jn,0,2026-08-01 06:20:00.000000,,,real
12805,Janmabhoomi Express,2026-08-01,2,DVD,Duvvada,18,2026-08-01 06:43:00.000000,4.0,2026-08-01 06:47:00.000000,real
12805,Janmabhoomi Express,2026-08-01,3,AKP,Anakapalle,33,2026-08-01 06:58:00.000000,9.0,2026-08-01 07:07:00.000000,real
12805,Janmabhoomi Express,2026-08-01,4,YLM,Elamanchili,57,2026-08-01 07:13:00.000000,18.0,2026-08-01 07:31:00.000000,real
12805,Janmabhoomi Express,2026-08-01,5,TUNI,Tuni,97,2026-08-01 07:38:00.000000,25.0,2026-08-01 08:03:00.000000,real
12805,Janmabhoomi Express,2026-08-01,6,ANV,Annavaram,114,2026-08-01 07:58:00.000000,23.0,2026-08-01 08:21:00.000000,real
12805,Janmabhoomi Express,2026-08-01,7,SLO,Samalkot Jn,151,2026-08-01 08:33:00.000000,21.0,2026-08-01 08:54:00.000000,real
12805,Janmabhoomi Express,2026-08-01,8,APT,Anaparti,177,2026-08-01 08:49:00.000000,25.0,2026-08-01 09:14:00.000000,real
12805,Janmabhoomi Express,2026-08-01,9,RJY,Rajahmundry,201,2026-08-01 09:18:00.000000,27.0,2026-08-01 09:45:00.000000,real
12805,Janmabhoomi Express,2026-08-01,10,TDD,Tadepalligudem,243,2026-08-01 10:03:00.000000,29.0,2026-08-01 10:32:00.000000,real
12805,Janmabhoomi Express,2026-08-01,11,EE,Eluru,291,2026-08-01 10:43:00.000000,25.0,2026-08-01 11:08:00.000000,real
12805,Janmabhoomi Express,2026-08-01,12,NZD,Nuzvid,309,2026-08-01 11:03:00.000000,25.0,2026-08-01 11:28:00.000000,real
12805,Janmabhoomi Express,2026-08-01,13,BZA,Vijayawada Jn,350,2026-08-01 12:02:00.000000,7.0,2026-08-01 12:09:00.000000,real
12805,Janmabhoomi Express,2026-08-01,14,TEL,Tenali Jn,382,2026-08-01 12:45:00.000000,19.0,2026-08-01 13:04:00.000000,real
12805,Janmabhoomi Express,2026-08-01,15,GNT,Guntur Jn,407,2026-08-01 13:10:00.000000,46.0,2026-08-01 13:56:00.000000,real
12805,Janmabhoomi Express,2026-08-01,16,SAP,Sattenapalle,450,2026-08-01 13:56:00.000000,1.0,2026-08-01 13:57:00.000000,real
12805,Janmabhoomi Express,2026-08-01,17,PGRL,Piduguralla,480,2026-08-01 14:22:00.000000,53.0,2026-08-01 15:15:00.000000,real
12805,Janmabhoomi Express,2026-08-01,18,NDKD,Nadikode,502,2026-08-01 14:43:00.000000,51.0,2026-08-01 15:34:00.000000,real
12805,Janmabhoomi Express,2026-08-01,19,MRGA,Miryalaguda,541,2026-08-01 15:12:00.000000,57.0,2026-08-01 16:09:00.000000,real
12805,Janmabhoomi Express,2026-08-01,20,NLDA,Nalgonda,578,2026-08-01 15:42:00.000000,74.0,2026-08-01 16:56:00.000000,real
12805,Janmabhoomi Express,2026-08-01,21,RMNP,Ramannapet,613,2026-08-01 16:14:00.000000,76.0,2026-08-01 17:30:00.000000,real
12805,Janmabhoomi Express,2026-08-01,22,CHZ,Charlapalli,676,2026-08-01 18:05:00.000000,2.0,2026-08-01 18:07:00.000000,real
12805,Janmabhoomi Express,2026-08-01,23,SC,Secunderabad Jn,688,2026-08-01 18:25:00.000000,5.0,2026-08-01 18:30:00.000000,real
12805,Janmabhoomi Express,2026-08-01,24,BMT,Begumpet,693,2026-08-01 18:41:00.000000,1.0,2026-08-01 18:42:00.000000,real
12805,Janmabhoomi Express,2026-08-01,25,LPI,Lingampalli,711,2026-08-01 19:15:00.000000,-8.0,2026-08-01 19:07:00.000000,real
12805,Janmabhoomi Express,2026-08-02,1,VSKP,Visakhapatnam Jn,0,2026-08-02 06:20:00.000000,,,real
12805,Janmabhoomi Express,2026-08-02,2,DVD,Duvvada,18,2026-08-02 06:43:00.000000,4.0,2026-08-02 06:47:00.000000,real
12805,Janmabhoomi Express,2026-08-02,3,AKP,Anakapalle,33,2026-08-02 06:58:00.000000,8.0,2026-08-02 07:06:00.000000,real
12805,Janmabhoomi Express,2026-08-02,4,YLM,Elamanchili,57,2026-08-02 07:13:00.000000,17.0,2026-08-02 07:30:00.000000,real
12805,Janmabhoomi Express,2026-08-02,5,TUNI,Tuni,97,2026-08-02 07:38:00.000000,24.0,2026-08-02 08:02:00.000000,real
12805,Janmabhoomi Express,2026-08-02,6,ANV,Annavaram,114,2026-08-02 07:58:00.000000,22.0,2026-08-02 08:20:00.000000,real
12805,Janmabhoomi Express,2026-08-02,7,SLO,Samalkot Jn,151,2026-08-02 08:33:00.000000,17.0,2026-08-02 08:50:00.000000,real
12805,Janmabhoomi Express,2026-08-02,8,APT,Anaparti,177,2026-08-02 08:49:00.000000,27.0,2026-08-02 09:16:00.000000,real
12805,Janmabhoomi Express,2026-08-02,9,RJY,Rajahmundry,201,2026-08-02 09:18:00.000000,21.0,2026-08-02 09:39:00.000000,real
12805,Janmabhoomi Express,2026-08-02,10,TDD,Tadepalligudem,243,2026-08-02 10:03:00.000000,25.0,2026-08-02 10:28:00.000000,real
12805,Janmabhoomi Express,2026-08-02,11,EE,Eluru,291,2026-08-02 10:43:00.000000,22.0,2026-08-02 11:05:00.000000,real
12805,Janmabhoomi Express,2026-08-02,12,NZD,Nuzvid,309,2026-08-02 11:03:00.000000,22.0,2026-08-02 11:25:00.000000,real
12805,Janmabhoomi Express,2026-08-02,13,BZA,Vijayawada Jn,350,2026-08-02 12:02:00.000000,8.0,2026-08-02 12:10:00.000000,real
12805,Janmabhoomi Express,2026-08-02,14,TEL,Tenali Jn,382,2026-08-02 12:45:00.000000,11.0,2026-08-02 12:56:00.000000,real
12805,Janmabhoomi Express,2026-08-02,15,GNT,Guntur Jn,407,2026-08-02 13:10:00.000000,36.0,2026-08-02 13:46:00.000000,real
12805,Janmabhoomi Express,2026-08-02,16,SAP,Sattenapalle,450,2026-08-02 13:56:00.000000,35.0,2026-08-02 14:31:00.000000,real
12805,Janmabhoomi Express,2026-08-02,17,PGRL,Piduguralla,480,2026-08-02 14:22:00.000000,36.0,2026-08-02 14:58:00.000000,real
12805,Janmabhoomi Express,2026-08-02,18,NDKD,Nadikode,502,2026-08-02 14:43:00.000000,34.0,2026-08-02 15:17:00.000000,real
12805,Janmabhoomi Express,2026-08-02,19,MRGA,Miryalaguda,541,2026-08-02 15:12:00.000000,44.0,2026-08-02 15:56:00.000000,real
12805,Janmabhoomi Express,2026-08-02,20,NLDA,Nalgonda,578,2026-08-02 15:42:00.000000,55.0,2026-08-02 16:37:00.000000,real
12805,Janmabhoomi Express,2026-08-02,21,RMNP,Ramannapet,613,2026-08-02 16:14:00.000000,52.0,2026-08-02 17:06:00.000000,real
12805,Janmabhoomi Express,2026-08-02,22,CHZ,Charlapalli,676,2026-08-02 18:05:00.000000,10.0,2026-08-02 18:15:00.000000,real
12805,Janmabhoomi Express,2026-08-02,23,SC,Secunderabad Jn,688,2026-08-02 18:25:00.000000,14.0,2026-08-02 18:39:00.000000,real
12805,Janmabhoomi Express,2026-08-02,24,BMT,Begumpet,693,2026-08-02 18:41:00.000000,1.0,2026-08-02 18:42:00.000000,real
12805,Janmabhoomi Express,2026-08-02,25,LPI,Lingampalli,711,2026-08-02 19:15:00.000000,11.0,2026-08-02 19:26:00.000000,real
12805,Janmabhoomi Express,2026-08-03,1,VSKP,Visakhapatnam Jn,0,2026-08-03 06:20:00.000000,,,real
12805,Janmabhoomi Express,2026-08-03,2,DVD,Duvvada,18,2026-08-03 06:43:00.000000,4.0,2026-08-03 06:47:00.000000,real
12805,Janmabhoomi Express,2026-08-03,3,AKP,Anakapalle,33,2026-08-03 06:58:00.000000,7.0,2026-08-03 07:05:00.000000,real
12805,Janmabhoomi Express,2026-08-03,4,YLM,Elamanchili,57,2026-08-03 07:13:00.000000,15.0,2026-08-03 07:28:00.000000,real
12805,Janmabhoomi Express,2026-08-03,5,TUNI,Tuni,97,2026-08-03 07:38:00.000000,22.0,2026-08-03 08:00:00.000000,real
12805,Janmabhoomi Express,2026-08-03,6,ANV,Annavaram,114,2026-08-03 07:58:00.000000,20.0,2026-08-03 08:18:00.000000,real
12805,Janmabhoomi Express,2026-08-03,7,SLO,Samalkot Jn,151,2026-08-03 08:33:00.000000,16.0,2026-08-03 08:49:00.000000,real
12805,Janmabhoomi Express,2026-08-03,8,APT,Anaparti,177,2026-08-03 08:49:00.000000,25.0,2026-08-03 09:14:00.000000,real
12805,Janmabhoomi Express,2026-08-03,9,RJY,Rajahmundry,201,2026-08-03 09:18:00.000000,20.0,2026-08-03 09:38:00.000000,real
12805,Janmabhoomi Express,2026-08-03,10,TDD,Tadepalligudem,243,2026-08-03 10:03:00.000000,24.0,2026-08-03 10:27:00.000000,real
12805,Janmabhoomi Express,2026-08-03,11,EE,Eluru,291,2026-08-03 10:43:00.000000,21.0,2026-08-03 11:04:00.000000,real
12805,Janmabhoomi Express,2026-08-03,12,NZD,Nuzvid,309,2026-08-03 11:03:00.000000,21.0,2026-08-03 11:24:00.000000,real
12805,Janmabhoomi Express,2026-08-03,13,BZA,Vijayawada Jn,350,2026-08-03 12:02:00.000000,8.0,2026-08-03 12:10:00.000000,real
12805,Janmabhoomi Express,2026-08-03,14,TEL,Tenali Jn,382,2026-08-03 12:45:00.000000,10.0,2026-08-03 12:55:00.000000,real
12805,Janmabhoomi Express,2026-08-03,15,GNT,Guntur Jn,407,2026-08-03 13:10:00.000000,36.0,2026-08-03 13:46:00.000000,real
12805,Janmabhoomi Express,2026-08-03,16,SAP,Sattenapalle,450,2026-08-03 13:56:00.000000,31.0,2026-08-03 14:27:00.000000,real
12805,Janmabhoomi Express,2026-08-03,17,PGRL,Piduguralla,480,2026-08-03 14:22:00.000000,32.0,2026-08-03 14:54:00.000000,real
12805,Janmabhoomi Express,2026-08-03,18,NDKD,Nadikode,502,2026-08-03 14:43:00.000000,31.0,2026-08-03 15:14:00.000000,real
12805,Janmabhoomi Express,2026-08-03,19,MRGA,Miryalaguda,541,2026-08-03 15:12:00.000000,41.0,2026-08-03 15:53:00.000000,real
12805,Janmabhoomi Express,2026-08-03,20,NLDA,Nalgonda,578,2026-08-03 15:42:00.000000,48.0,2026-08-03 16:30:00.000000,real
12805,Janmabhoomi Express,2026-08-03,21,RMNP,Ramannapet,613,2026-08-03 16:14:00.000000,46.0,2026-08-03 17:00:00.000000,real
12805,Janmabhoomi Express,2026-08-03,22,CHZ,Charlapalli,676,2026-08-03 18:05:00.000000,8.0,2026-08-03 18:13:00.000000,real
12805,Janmabhoomi Express,2026-08-03,23,SC,Secunderabad Jn,688,2026-08-03 18:25:00.000000,11.0,2026-08-03 18:36:00.000000,real
12805,Janmabhoomi Express,2026-08-03,24,BMT,Begumpet,693,2026-08-03 18:41:00.000000,1.0,2026-08-03 18:42:00.000000,real
12805,Janmabhoomi Express,2026-08-03,25,LPI,Lingampalli,711,2026-08-03 19:15:00.000000,14.0,2026-08-03 19:29:00.000000,real
12805,Janmabhoomi Express,2026-08-04,1,VSKP,Visakhapatnam Jn,0,2026-08-04 06:20:00.000000,,,real
12805,Janmabhoomi Express,2026-08-04,2,DVD,Duvvada,18,2026-08-04 06:43:00.000000,4.0,2026-08-04 06:47:00.000000,real
12805,Janmabhoomi Express,2026-08-04,3,AKP,Anakapalle,33,2026-08-04 06:58:00.000000,11.0,2026-08-04 07:09:00.000000,real
12805,Janmabhoomi Express,2026-08-04,4,YLM,Elamanchili,57,2026-08-04 07:13:00.000000,22.0,2026-08-04 07:35:00.000000,real
12805,Janmabhoomi Express,2026-08-04,5,TUNI,Tuni,97,2026-08-04 07:38:00.000000,29.0,2026-08-04 08:07:00.000000,real
12805,Janmabhoomi Express,2026-08-04,6,ANV,Annavaram,114,2026-08-04 07:58:00.000000,28.0,2026-08-04 08:26:00.000000,real
12805,Janmabhoomi Express,2026-08-04,7,SLO,Samalkot Jn,151,2026-08-04 08:33:00.000000,24.0,2026-08-04 08:57:00.000000,real
12805,Janmabhoomi Express,2026-08-04,8,APT,Anaparti,177,2026-08-04 08:49:00.000000,29.0,2026-08-04 09:18:00.000000,real
12805,Janmabhoomi Express,2026-08-04,9,RJY,Rajahmundry,201,2026-08-04 09:18:00.000000,29.0,2026-08-04 09:47:00.000000,real
12805,Janmabhoomi Express,2026-08-04,10,TDD,Tadepalligudem,243,2026-08-04 10:03:00.000000,31.0,2026-08-04 10:34:00.000000,real
12805,Janmabhoomi Express,2026-08-04,11,EE,Eluru,291,2026-08-04 10:43:00.000000,30.0,2026-08-04 11:13:00.000000,real
12805,Janmabhoomi Express,2026-08-04,12,NZD,Nuzvid,309,2026-08-04 11:03:00.000000,32.0,2026-08-04 11:35:00.000000,real
12805,Janmabhoomi Express,2026-08-04,13,BZA,Vijayawada Jn,350,2026-08-04 12:02:00.000000,12.0,2026-08-04 12:14:00.000000,real
12805,Janmabhoomi Express,2026-08-04,14,TEL,Tenali Jn,382,2026-08-04 12:45:00.000000,14.0,2026-08-04 12:59:00.000000,real
12805,Janmabhoomi Express,2026-08-04,15,GNT,Guntur Jn,407,2026-08-04 13:10:00.000000,37.0,2026-08-04 13:47:00.000000,real
12805,Janmabhoomi Express,2026-08-04,16,SAP,Sattenapalle,450,2026-08-04 13:56:00.000000,58.0,2026-08-04 14:54:00.000000,real
12805,Janmabhoomi Express,2026-08-04,17,PGRL,Piduguralla,480,2026-08-04 14:22:00.000000,58.0,2026-08-04 15:20:00.000000,real
12805,Janmabhoomi Express,2026-08-04,18,NDKD,Nadikode,502,2026-08-04 14:43:00.000000,62.0,2026-08-04 15:45:00.000000,real
12805,Janmabhoomi Express,2026-08-04,19,MRGA,Miryalaguda,541,2026-08-04 15:12:00.000000,72.0,2026-08-04 16:24:00.000000,real
12805,Janmabhoomi Express,2026-08-04,20,NLDA,Nalgonda,578,2026-08-04 15:42:00.000000,88.0,2026-08-04 17:10:00.000000,real
12805,Janmabhoomi Express,2026-08-04,21,RMNP,Ramannapet,613,2026-08-04 16:14:00.000000,87.0,2026-08-04 17:41:00.000000,real
12805,Janmabhoomi Express,2026-08-04,22,CHZ,Charlapalli,676,2026-08-04 18:05:00.000000,52.0,2026-08-04 18:57:00.000000,real
